Slope,water bodies,avg rainfall,soil type,washout
300,4,1200,fine,yes
200,5,1358,medium,yes
449,3,1013,fine,no
499,5,1493,medium,no
181,4,1479,fine,no
425,0,1104,medium,no
369,0,847,fine,no
415,3,1229, coarse,no
488,3,936,fine,no
342,2,881,fine,no
352,2,1105,fine,no
148,3,1063,medium,no
271,4,1433, coarse,no
416,4,931,fine,no
246,5,1481,fine,no
118,2,1155,fine,no
241,0,1156,medium,no
430,3,970,fine,no
484,0,958,fine,no
178,4,1202, coarse,no
61,0,1179,fine,no
205,5,1140,fine,no
473,0,1127,fine,no
112,2,940,fine,no
441,0,1431,fine,no
227,4,1413,medium,yes
500,0,1086,medium,no
100,1,1309, coarse,no
382,0,1153,fine,no
474,1,977,medium,no
128,5,1210,fine,no
275,1,1376, coarse,no
133,3,1045,medium,no
154,2,1477,medium,no
260,2,1039, coarse,no
354,4,1297,fine,no
420,0,1199,medium,no
321,1,760, coarse,no
54,4,1030, coarse,no
187,0,1326,fine,no
200,5,953,medium,no
196,1,1245,fine,no
136,4,1056,fine,no
399,1,1391,medium,no
60,4,1199,medium,no
317,4,1094, coarse,yes
132,4,776, coarse,no
422,0,939,medium,no
309,5,847,medium,no
208,0,808, coarse,yes
190,0,1068, coarse,no
208,2,808, coarse,no
81,0,897,fine,no
397,3,1291,fine,no
205,2,1137,fine,no
254,2,1317,fine,yes
479,4,762,medium,no
194,2,1228,fine,no
223,2,1383, coarse,no
496,1,1200, coarse,yes
405,3,1092, coarse,no
497,5,1419,medium,no
338,3,1278, coarse,no
465,0,914,medium,yes
130,2,858,fine,no
235,1,1112,medium,no
74,5,1153,medium,no
368,4,1309, coarse,no
220,4,1472,fine,no
325,4,934,fine,no
250,2,1164,medium,no
77,3,999, coarse,no
188,3,986,medium,no
61,4,1127, coarse,no
485,4,1344, coarse,no
317,5,1332, coarse,yes
405,0,957, coarse,no
458,0,1114,medium,no
324,3,1146,fine,no
118,2,1149, coarse,no
95,1,1165, coarse,no
86,1,1344,fine,no
295,4,882,medium,yes
232,4,960,medium,no
169,5,1175,medium,no
348,3,1317,fine,no
276,0,751,medium,no
182,1,1225,medium,no
182,5,853, coarse,no
352,2,899,fine,no
196,3,900,medium,no
432,4,1356,medium,no
249,0,1192, coarse,no
207,4,848,medium,no
402,5,891,fine,no
379,0,890,fine,no
166,4,1060,fine,yes
101,1,1121, coarse,no
207,3,994,medium,no
494,5,1054,fine,no
